,input,output
0,"Senjō no Valkyria 3 : Unrecorded Chronicles ( Japanese : 戦場のヴァルキュリア3 , lit . Valkyria of the Battlefield 3 ) , commonly referred to as Valkyria Chronicles III outside Japan","Senjō no Valkyria 3 : Unrecorded Chronicles ( Japanese : 戦場のヴァルキュリア3, lit. Valkyria of the Battlefield 3 ), commonly referred to as Valkyria Chronicles III or Valkyria Chronicles IV."
1,"The game began development in 2010 , carrying over a large portion of the work done on Valkyria Chronicles II . While it retained the standard features of the series","The game began development in 2010, carrying over a large portion of the work done on Valkyria Chronicles II. While it retained the standard features of the series, it was also a bit more complex, with a lot of new features added to make it more accessible to newcomers."
2,"It met with positive sales in Japan , and was praised by both Japanese and western critics . After release , it received downloadable content , along with an expanded","It met with positive sales in Japan, and was praised by both Japanese and western critics. After release, it received downloadable content, along with an expanded version of the game."
3,"As with previous Valkyira Chronicles games , Valkyria Chronicles III is a tactical role @-@ playing game where players take control of a military unit and take part in missions","As with previous Valkyira Chronicles games, Valkyria Chronicles III is a tactical role @-@ playing game where players take control of a military unit and take part in missions. The game is a tactical game where you can take control of a unit and take part in missions. The game is a tactical game where you can take control of a unit and take part in missions."
4,"The game 's battle system , the BliTZ system , is carried over directly from Valkyira Chronicles . During missions , players select each unit using a top @-@ down","The game's battle system, the BliTZ system, is carried over directly from Valkyira Chronicles. During missions, players select each unit using a top @-@ down arrow. The unit's name is displayed on the screen, and the unit's stats are displayed on the screen."
5,"Troops are divided into five classes : Scouts , Shocktroopers , Engineers , Lancers and Armored Soldier . Troopers can switch classes by changing their assigned weapon . Changing class","Troops are divided into five classes : Scouts, Shocktroopers, Engineers, Lancers and Armored Soldier. Troopers can switch classes by changing their assigned weapon. Changing class is done by clicking on the class icon in the top right corner of the screen."
6,"The game takes place during the Second Europan War . Gallian Army Squad 422 , also known as "" The Nameless "" , are a penal military unit composed of","The game takes place during the Second Europan War. Gallian Army Squad 422, also known as "" The Nameless "", are a penal military unit composed of the German and French forces. They are the only unit in the game to have a single unit, and are the only unit to have a single unit with a single name."
7,"As the Nameless officially do not exist , the upper echelons of the Gallian Army exploit the concept of plausible deniability in order to send them on missions that would","As the Nameless officially do not exist, the upper echelons of the Gallian Army exploit the concept of plausible deniability in order to send them on missions that would be impossible to predict."
8,"Partly due to these events , and partly due to the major losses in manpower Gallia suffers towards the end of the war with the Empire , the Nameless are","Partly due to these events, and partly due to the major losses in manpower Gallia suffers towards the end of the war with the Empire, the Nameless are forced to flee to the far side of the galaxy."
9,"Concept work for Valkyria Chronicles III began after development finished on Valkyria Chronicles II in early 2010 , with full development beginning shortly after this . The director of Valkyria","Concept work for Valkyria Chronicles III began after development finished on Valkyria Chronicles II in early 2010, with full development beginning shortly after this. The director of Valkyria Chronicles III, Kazuhiro Yamada, was also involved in the development of the game's story."
10,"The majority of material created for previous games , such as the BLiTZ system and the design of maps , was carried over . Alongside this , improvements were made","The majority of material created for previous games, such as the BLiTZ system and the design of maps, was carried over. Alongside this, improvements were made to the game's graphics and sound effects, and the game's story was rewritten to make it more interesting."
11,"The music was composed by Hitoshi Sakimoto , who had also worked on the previous Valkyria Chronicles games . When he originally heard about the project , he thought it","The music was composed by Hitoshi Sakimoto, who had also worked on the previous Valkyria Chronicles games. When he originally heard about the project, he thought it would be a good idea to make a game that would be a bit more challenging than the previous games."
12,"In September 2010 , a teaser website was revealed by Sega , hinting at a new Valkyria Chronicles game . In its September issue , Famitsu listed that Senjō no","In September 2010, a teaser website was revealed by Sega, hinting at a new Valkyria Chronicles game. In its September issue, Famitsu listed that Senjō no Kyojin would be released on September 30, 2010."
13,"Unlike its two predecessors , Valkyria Chronicles III was not released in the west . According to Sega , this was due to poor sales of Valkyria Chronicles II and","Unlike its two predecessors, Valkyria Chronicles III was not released in the west. According to Sega, this was due to poor sales of Valkyria Chronicles II and Valkyria Chronicles III."
14,"On its day of release in Japan , Valkyria Chronicles III topped both platform @-@ exclusive and multi @-@ platform sales charts . By early February , the game sold","On its day of release in Japan, Valkyria Chronicles III topped both platform @-@ exclusive and multi @-@ platform sales charts. By early February, the game sold over 1.5 million copies worldwide."
15,"Famitsu enjoyed the story , and were particularly pleased with the improvements to gameplay . Japanese gaming site Game Watch Impress , despite negatively noting its pacing and elements recycled","Famitsu enjoyed the story, and were particularly pleased with the improvements to gameplay. Japanese gaming site Game Watch Impress, despite negatively noting its pacing and elements recycled from the original game, has been very positive about the game and its development."
16,"PlayStation Official Magazine - UK praised the story 's blurring of Gallia 's moral standing , art style , and most points about its gameplay , positively noting the latter","PlayStation Official Magazine - UK praised the story's blurring of Gallia's moral standing, art style, and most points about its gameplay, positively noting the latter's''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''"
17,"In a preview of the TGS demo , Ryan Geddes of IGN was left excited as to where the game would go after completing the demo , along with enjoying","In a preview of the TGS demo, Ryan Geddes of IGN was left excited as to where the game would go after completing the demo, along with enjoying the game's story."
18,"Kurt and Riela were featured in the Nintendo 3DS crossover Project X Zone , representing the Valkyria series . Media.Vision would return to the series to develop Valkyria : Azure","Kurt and Riela were featured in the Nintendo 3DS crossover Project X Zone, representing the Valkyria series. Media.Vision would return to the series to develop Valkyria : Azure, a game that would be released in Japan in the summer of 2014."
19,Valkyria Chronicles 3 was adapted into a two @-@ episode original video animation series in the same year of its release . Titled Senjō no Valkyria 3 : Taga Tame,"Valkyria Chronicles 3 was adapted into a two @-@ episode original video animation series in the same year of its release. Titled Senjō no Valkyria 3 : Taga Tame, it was a sequel to the original Senjō no Valkyria series."
